Parameter,Mean,Median,Std,Min,Max,Real Value,MADE,MSE
Parameter 1,0.6018766697964026,0.5668450542407888,0.2587888791123297,0.0421590166313028,1.832933500079701,0.5,0.20333921459902746,0.07735053980102125
Parameter 2,0.2164827101688296,0.2587644456379367,0.2491370202968031,-0.6508717670973867,0.8511427953724116,0.3,0.1903442628757626,0.06904439258311337
Parameter 3,0.2488297118770587,0.2239762610192552,0.2055359964621707,-0.420831603494414,0.8852621015644404,0.2,0.1552320572427488,0.04462938660369399
Parameter 4,0.0942824169349756,0.089351999686568,0.0473009623835434,-0.0304444255215934,0.2538184904803552,0.1,0.03906003798578597,0.0022700717985148417
Parameter 5,0.1574045882508548,0.1649959896589471,0.388079494788166,-1.4167488366849947,1.236937066550233,0.2,0.29975801651850487,0.15242006337711742
Parameter 6,0.3421742806010029,0.3613551811453194,0.2723804952530968,-0.828859740372424,1.1884927805705408,0.3,0.20250586022563927,0.07596980413853441
Parameter 7,0.1031513475874319,0.0789036796844136,0.2811900695119474,-1.14957980793129,1.2361857784655668,0.1,0.21354307302327322,0.07907778618375065
Parameter 8,0.2865578384626397,0.2872448378836086,0.2193273563414885,-0.3679302288290504,1.170071982720104,0.3,0.16986267775960917,0.048285180946542744
Parameter 9,0.3471397893816935,0.3757656457692725,0.3793132518745048,-0.9138447905417691,1.7916857067008145,0.3,0.29309683108480467,0.14610070279056195
Parameter 10,0.1935094419111974,0.1926517653679144,0.0475678773322593,0.0718108165135316,0.3048403812897982,0.2,0.03900638610572387,0.002304830298200993
