Parameter,Mean,Median,Std,Min,Max,Real Value
Parameter 1,0.31123112600000047,0.309075,0.08803540110708945,0.066414,0.68689,0.3
Parameter 2,0.19161275828486424,0.18937,0.11509591846886123,1.1777e-08,0.63447,0.2
Parameter 3,0.49285790000000035,0.493185,0.08307678427208169,0.16854,0.72524,0.5
Parameter 4,0.5275754580000002,0.507535,0.19481269932735967,0.084469,1.2278,0.5
Parameter 5,0.39091847515265427,0.389305,0.15555602909277202,1.071e-08,0.95147,0.4
Parameter 6,0.2902029304000001,0.287105,0.08348679320123178,0.0011182,0.94338,0.3
Parameter 7,0.7984542668518994,0.7555149999999999,0.5271510394904797,5.3768e-08,2.0,0.7
