Parameter,Mean,Median,Std,Min,Max,Real Value
Parameter 1,0.4159939031511,0.3927,0.2651776198965329,3.6555e-07,1.0,0.5
Parameter 2,0.31643037168877974,0.258405,0.2637482401588304,3.0439e-07,0.99938,0.2
Parameter 3,0.3252872041875,0.29161000000000004,0.24699662757205693,8.1595e-07,1.0,0.3
Parameter 4,0.20313145649599992,0.177925,0.1622136548014948,5.2378e-05,0.99733,0.2
Parameter 5,0.32926007089493986,0.29149,0.26075721695104204,7.3047e-07,0.99827,0.3
Parameter 6,0.40656689672628776,0.38015,0.2684056790538599,5.7144e-08,1.0,0.4
Parameter 7,0.2876695859720001,0.22959000000000002,0.25904660307263194,3.7031e-05,0.99992,0.2
Parameter 8,0.2862326168220002,0.28006,0.16048759344896496,3.2361e-05,0.9903,0.3
Parameter 9,-0.2373214766000001,-0.35790500000000003,0.5717326269401624,-0.99999,0.99984,-0.5
