Parameter,Mean,Median,Std,Min,Max,Real Value
Parameter 1,0.31217462311557787,0.30438,0.06195162219179286,0.17594,0.50656,0.3
Parameter 2,0.1927484538650955,0.18539,0.08682988308593846,2.9934e-08,0.50487,0.2
Parameter 3,0.491700753768844,0.48942,0.05468634011258406,0.32875,0.64723,0.5
Parameter 4,0.5147191959798995,0.50431,0.12585033061113282,0.22928,0.89095,0.5
Parameter 5,0.3934167638190955,0.39579,0.10211948115504887,0.092768,0.69486,0.4
Parameter 6,0.2927744221105529,0.29039,0.049162519730726606,0.15806,0.44997,0.3
Parameter 7,0.7126501931970852,0.73856,0.3539333971426555,6.1622e-07,1.5111,0.7
