Parameter,Mean,Median,Std,Min,Max,Real Value,MADE,MSE
Parameter 1,0.3637719313254887,0.3573713494899956,0.2717023681883728,-0.4541726826215667,1.187977752475498,0.3,0.21350339910468755,0.077889036104153
Parameter 2,0.1761466508816693,0.1688829335496102,0.1644151878194358,-0.5940936676449567,0.5850329827357621,0.2,0.12923346656332008,0.02760133624986132
Parameter 3,0.4654471928912261,0.4714289175495051,0.1038446543923505,0.1874258111654947,0.7933984944655968,0.5,0.08827931497234688,0.01197760872496287
Parameter 4,0.6637027079475979,0.6381790955617945,0.2806834911117226,-0.0320177938779539,1.6157046499396372,0.5,0.2536929282304897,0.10558179877204094
Parameter 5,0.3098792228965029,0.3282243809086373,0.1795453358443888,-0.388285170690716,0.7338722040129039,0.4,0.15331387531906127,0.040358282089212584
Parameter 6,0.2941666440214801,0.295187059968603,0.07896015299859,0.0896248397632161,0.4792566072652421,0.3,0.06389897540323011,0.0062687338035328785
