Parameter,Mean,Median,Std,Min,Max
Parameter 1,1.9996810000000014,2.0,0.0007261535650260407,1.9925,2.0
Parameter 2,0.607879380000004,0.60784,9.576124268198239e-05,0.6078,0.60883
Parameter 3,0.11766112000000034,0.11766,1.16424052497759e-05,0.11759,0.11773
Parameter 4,0.8797859200000011,0.88009,0.0008566248616518147,0.87316,0.88011
Parameter 5,0.31995991999999995,0.3198,0.000558241519057834,0.31977,0.32458
Parameter 6,0.10152785999999969,0.10151,6.805894797893894e-05,0.10109,0.10206
Parameter 7,1.7472900000000036,1.749,0.0039026170706335144,1.7085,1.7507
