theta1,theta2,theta3,theta4,theta5,theta6,theta7,LogLikelihood,AIC,BIC
1.99858325859757,0.60799483171624,0.117688961638244,0.871200247200313,0.325841316873869,0.101156530024667,1.7426119515832,2309.0799566318,-4604.15991326361,-4576.86063178853
1.99999997396138,0.607835993897183,0.117657117701059,0.880111532268717,0.319789885242548,0.101507917791816,1.74909708272367,2309.08216994861,-4604.16433989722,-4576.86505842215
1.99998467245338,0.607836664434335,0.117659034599606,0.880061652634895,0.319814600790435,0.101510784465634,1.74894160748515,2309.08214417097,-4604.16428834194,-4576.86500686686
1.99998434554216,0.607836661024576,0.1176585425521,0.880086885234134,0.3197996820119,0.101512015790357,1.74891809314317,2309.08214085208,-4604.16428170416,-4576.86500022908
1.99999986944376,0.607836007935028,0.117657117951734,0.880111490517863,0.319789898957726,0.101507927752238,1.74909666609719,2309.08216974134,-4604.16433948267,-4576.8650580076
1.99998698702975,0.607837577887256,0.117657279924053,0.880098873788266,0.319794489928941,0.101509555298318,1.74903305205265,2309.08214497445,-4604.16428994891,-4576.86500847383
1.99866773324412,0.608023434606888,0.117648795964444,0.87936672965887,0.320035104145336,0.101675118752669,1.74179135905325,2309.07947894449,-4604.15895788899,-4576.85967641391
1.99973879084932,0.6078676300047,0.117660325366622,0.879871826302265,0.31992677109172,0.101511390565948,1.7477674065451,2309.08166389441,-4604.16332778882,-4576.86404631375
1.99869626903039,0.608016383571046,0.117656166012569,0.879592487102511,0.319917028596698,0.101612353559232,1.74256535627001,2309.07952870093,-4604.15905740186,-4576.85977592679
1.99999986962914,0.607836038908599,0.117657098218576,0.880110467867463,0.319790576366757,0.101507920315206,1.74909687657325,2309.08216984964,-4604.16433969927,-4576.8650582242
1.99998700823968,0.607836659391454,0.117658379613355,0.880066665535235,0.31981712357294,0.101509215253905,1.74904852636668,2309.08214841182,-4604.16429682363,-4576.86501534855
1.99998698671108,0.607837911159438,0.117656952383049,0.880107936664571,0.319789859468712,0.101509672258995,1.74903051645817,2309.08214401884,-4604.16428803768,-4576.8650065626
1.99999986938954,0.607836020958809,0.117657104600182,0.880111136538148,0.319790135434613,0.101507914369593,1.74909656000726,2309.08216977858,-4604.16433955717,-4576.86505808209
1.99993599446202,0.607834952502401,0.117665359688822,0.87990187304608,0.31994428174181,0.101484209939973,1.74895064722697,2309.08206219044,-4604.16412438087,-4576.86484290579
1.99987623923815,0.607845021355006,0.117665599101761,0.879027430495399,0.320557553792661,0.101437821403304,1.74877041859885,2309.08203000788,-4604.16406001576,-4576.86477854068
1.99998698860463,0.607837733281358,0.117657166029739,0.88010557286108,0.319789720975068,0.101510829707802,1.74904318563446,2309.08214427225,-4604.1642885445,-4576.86500706942
1.99993456135716,0.607848295670744,0.11765319046351,0.880024958898174,0.319830916878851,0.101513309986214,1.7489304379668,2309.08204647634,-4604.16409295269,-4576.86481147761
1.99998387028345,0.607837852006951,0.117657626855364,0.880069914523601,0.319812514866356,0.101510256998273,1.74898790592618,2309.08214170267,-4604.16428340534,-4576.86500193026
1.99999730783006,0.60783724711772,0.117656206717038,0.880108600954851,0.319791442115801,0.101507948974557,1.74907649757961,2309.08216485704,-4604.16432971408,-4576.865048239
1.99989209507044,0.607842733387868,0.11766621354401,0.879985674635016,0.319835238492241,0.101517615329381,1.74775582815685,2309.08196236836,-4604.16392473673,-4576.86464326165
1.99865667104468,0.608007926122126,0.117672572253852,0.87956885443642,0.319921942313573,0.101637801242523,1.74185324879465,2309.07943872449,-4604.15887744898,-4576.85959597391
1.99998374635477,0.607845432182829,0.117650156899082,0.880012238616076,0.319854859771934,0.101495267079577,1.74887746203693,2309.0821473617,-4604.16429472339,-4576.86501324831
1.99998698232223,0.607837460484621,0.117657395011982,0.880104025772018,0.319793306225093,0.101508703773917,1.74904867366414,2309.08214442522,-4604.16428885043,-4576.86500737535
1.99866315712605,0.608039239103052,0.117637156728663,0.879761703316142,0.319768403333034,0.101651261190942,1.7395265304939,2309.07938762681,-4604.15877525363,-4576.85949377855
1.99985236789265,0.607796325616883,0.117713766421245,0.879124433284726,0.320322513122277,0.101562772775215,1.74785937116255,2309.08196483001,-4604.16392966002,-4576.86464818494
1.99998414545846,0.60784133535035,0.11765376417805,0.880021359222028,0.319849778248382,0.101498442831426,1.74879242253309,2309.08214723868,-4604.16429447736,-4576.86501300228
1.99999739710231,0.607836331767534,0.117657128787808,0.880110895689477,0.319789935963796,0.1015081681738,1.74908480699669,2309.08216479664,-4604.16432959328,-4576.8650481182
1.99993489513881,0.607848891274377,0.117652527940675,0.880061918050556,0.319806539905421,0.101514659173637,1.74884380348782,2309.08204323877,-4604.16408647754,-4576.86480500247
1.99998698908199,0.607837776735243,0.117657088760059,0.8801058533611,0.319791628992516,0.101508697562265,1.74903059837675,2309.0821442437,-4604.16428848739,-4576.86500701232
1.99998463734677,0.607842543413186,0.117652621801374,0.880007496208702,0.319859393107256,0.101500497794511,1.7488896553139,2309.08214975876,-4604.16429951752,-4576.86501804244
1.99998607620512,0.607829928606122,0.117665043223,0.88005031698824,0.319818854398846,0.101512480338585,1.74893858457073,2309.08214814769,-4604.16429629537,-4576.86501482029
1.99993467824541,0.60784511275821,0.117657332737981,0.880025406404231,0.319836926410804,0.101511884427887,1.74892323918247,2309.08204671325,-4604.1640934265,-4576.86481195142
1.99973874177133,0.60786759142839,0.117661393793862,0.880044544804309,0.319804518036195,0.10152470372226,1.74782146601911,2309.08164587316,-4604.16329174633,-4576.86401027125
