Parameter,Mean,Median,Std,Min,Max,Real Value
Parameter 1,0.5031234170854272,0.50282,0.13350096003788545,0.19893,0.92517,0.5
Parameter 2,0.2860782618090453,0.29663,0.16110336057052976,0.0027865,0.60204,0.3
Parameter 3,0.21365627579660892,0.20751,0.142434962013832,6.3392e-09,0.57235,0.2
Parameter 4,0.09782418592964823,0.0975,0.030869184154467294,0.024113,0.16462,0.1
Parameter 5,0.20177356783919603,0.20253,0.0317988038053545,0.10725,0.29142,0.2
Parameter 6,0.2950219246231156,0.30342,0.12315318730583989,0.012536,0.69906,0.3
Parameter 7,0.13604288300850254,0.097498,0.13656608296152492,1.0242e-08,0.60912,0.1
Parameter 8,0.26922237638190966,0.29256,0.1175149022193599,0.0018732,0.47898,0.3
Parameter 9,0.2983057788944725,0.29752,0.03282411942997288,0.20712,0.39121,0.3
Parameter 10,0.19845879396984917,0.1972,0.03189199306504798,0.1149,0.27994,0.2
Parameter 11,0.38413028693467316,0.42126,0.38823880168778097,-0.89515,0.99984,0.4
