Size,Biais_0,Biais_1,Biais_2,Biais_3,Biais_4,Biais_5,Biais_6
size_200,0.012061427999999985,-0.0067619258123759185,-0.007602299999999895,0.028445914000000294,-0.008174620012700029,-0.011363076399999894,0.09670153983908025
size_500,0.0022498000000001905,0.0005245050000002027,-0.005753959999999392,0.01855297999999983,-0.012054025701180249,-0.0011052199999999068,-0.008390312224794472
size_1000,0.0011045399999998207,0.0006776679999998814,-0.003917859999999718,0.010572080000000428,-0.004059039999999847,-0.0028225399999999845,-0.0020517924285998745
