Parameter,Mean,Median,Std,Min,Max,Real Value,Size
Parameter 1,0.312061428,0.308825,0.0856342200382114,0.092124,0.6598,0.3,200
Parameter 2,0.1932380741876241,0.191235,0.1132458658990625,1.6652e-08,0.63611,0.2,200
Parameter 3,0.4923977000000001,0.492675,0.0805677612256292,0.25819,0.72262,0.5,200
Parameter 4,0.5284459140000003,0.51054,0.1937673698916373,0.084397,1.2309,0.5,200
Parameter 5,0.3918253799873,0.3892449999999999,0.1536652789704209,1.5665e-07,0.95151,0.4,200
Parameter 6,0.2886369236000001,0.28878,0.0758891110355355,0.0011298,0.51376,0.3,200
Parameter 7,0.7967015398390802,0.7416750000000001,0.5173201970268704,2.7196e-07,1.9991,0.7,200
Parameter 1,0.3022498000000002,0.29833,0.0568463247322111,0.17574,0.51202,0.3,500
Parameter 2,0.2005245050000002,0.200865,0.0773677766200985,0.0039265,0.41418,0.2,500
Parameter 3,0.4942460400000006,0.493055,0.04905487120275,0.35069,0.61339,0.5,500
Parameter 4,0.5185529799999998,0.501035,0.1306125748575519,0.24246,1.0072,0.5,500
Parameter 5,0.3879459742988198,0.39368,0.1072193155444733,1.4941e-07,0.68787,0.4,500
Parameter 6,0.2988947800000001,0.301375,0.0468598043247258,0.16848,0.46531,0.3,500
Parameter 7,0.6916096877752055,0.66776,0.3729657386479479,4.7603e-08,1.8036,0.7,500
Parameter 1,0.3011045399999998,0.3010549999999999,0.0397786329275956,0.20594,0.44769,0.3,1000
Parameter 2,0.2006776679999999,0.20079,0.0556823873187004,0.065476,0.37841,0.2,1000
Parameter 3,0.4960821400000003,0.496755,0.0377916459607199,0.39599,0.59962,0.5,1000
Parameter 4,0.5105720800000004,0.50667,0.091043849567522,0.31014,0.85052,0.5,1000
Parameter 5,0.3959409600000002,0.39583,0.070396041742973,0.18806,0.59285,0.4,1000
Parameter 6,0.29717746,0.2950549999999999,0.0328841392976675,0.19997,0.39961,0.3,1000
Parameter 7,0.6979482075714001,0.6891400000000001,0.2797852671249363,2.6857e-06,1.6136,0.7,1000
