Size,Biais_0,Biais_1,Biais_2,Biais_3,Biais_4,Biais_5
size_200,0.0637719313254887,-0.023853349118330702,-0.0345528071087739,0.1637027079475979,-0.09012077710349714,-0.005833355978519916
size_500,0.02310822873939311,-0.0183460890238277,-0.014639591205358404,0.06690145258280877,-0.033752639262850215,-0.009677492666947896
size_1000,0.01728754960566442,-0.008149256689927414,-0.0030914514475527954,0.0407035568393006,-0.02284772354858783,-0.0011353882496621948
