Parameter,Mean,Median,Std,Min,Max,Real Value,Size
Parameter 1,0.3112311260000004,0.309075,0.0880354011070894,0.066414,0.68689,0.3,200
Parameter 2,0.1916127582848642,0.18937,0.1150959184688612,1.1777e-08,0.63447,0.2,200
Parameter 3,0.4928579000000003,0.493185,0.0830767842720816,0.16854,0.72524,0.5,200
Parameter 4,0.5275754580000002,0.507535,0.1948126993273596,0.084469,1.2278,0.5,200
Parameter 5,0.3909184751526542,0.389305,0.155556029092772,1.071e-08,0.95147,0.4,200
Parameter 6,0.2902029304000001,0.287105,0.0834867932012317,0.0011182,0.94338,0.3,200
Parameter 7,0.7984542668518994,0.7555149999999999,0.5271510394904797,5.3768e-08,2.0,0.7,200
Parameter 1,0.3031803659999996,0.299045,0.0636598061061769,0.012197,0.59614,0.3,500
Parameter 2,0.198828516848984,0.2003349999999999,0.0795927039106091,2.4492e-08,0.41493,0.2,500
Parameter 3,0.4968233399999997,0.493965,0.0609269445864832,0.26148,0.99912,0.5,500
Parameter 4,0.5113350558000002,0.49665,0.1369520406904976,0.0011527,1.0063,0.5,500
Parameter 5,0.3930823220597637,0.39649,0.120656640081522,2.9882e-08,0.98924,0.4,500
Parameter 6,0.2968955224,0.3003949999999999,0.0580499756056966,0.0020612,0.79304,0.3,500
Parameter 7,0.7119642459334319,0.673435,0.4103655503451511,6.1426e-08,1.9957,0.7,500
Parameter 1,0.2982636753999998,0.29997,0.0591867696251969,0.0026703,0.74507,0.3,1000
Parameter 2,0.2065945155779999,0.201725,0.091830189799324,4.6639e-05,0.99919,0.2,1000
Parameter 3,0.4913668856000007,0.493935,0.0681138291198631,0.0011122,0.98646,0.5,1000
Parameter 4,0.5009041871423998,0.502675,0.1198009261016278,5.3712e-06,0.97378,0.5,1000
Parameter 5,0.4006208378000005,0.397625,0.1078128651732099,0.0021227,0.99603,0.4,1000
Parameter 6,0.3017794320823799,0.295,0.0744149907927665,1.4119e-07,0.99998,0.3,1000
Parameter 7,0.7506347416491196,0.69652,0.3840484488260299,5.3666e-07,1.9975,0.7,1000
