Parameter,Mean,Median,Std,Min,Max,Real Value
Parameter 1,0.46542811839999976,0.45142,0.21031881348350184,0.0076832,1.0,0.5
Parameter 2,0.35283296855841995,0.351495,0.1969444511999205,7.7921e-07,0.88614,0.3
Parameter 3,0.17275834633493453,0.137405,0.16466500682660196,5.3853e-09,0.83171,0.2
Parameter 4,0.09014182552448793,0.0808055,0.06207974546413096,2.8229e-09,0.30223,0.1
Parameter 5,0.19695801680000016,0.19355,0.0748946067498377,0.0011564,0.43404,0.2
Parameter 6,0.29052042684497975,0.270115,0.20191281369319772,4.0093e-07,0.99987,0.3
Parameter 7,0.15020293059572007,0.11388999999999999,0.15280652191218544,1.6648e-08,0.65578,0.1
Parameter 8,0.26911784937121985,0.274825,0.16211384755316408,4.5416e-07,0.79495,0.3
Parameter 9,0.30235077800000004,0.303905,0.07442614019238616,0.083661,0.52633,0.3
Parameter 10,0.18256135158999984,0.180875,0.07513006017059443,1.0735e-05,0.39075,0.2
Parameter 11,0.2522361338000001,0.41386500000000004,0.6276028470700286,-0.99999,1.0,0.4
