Parameter,Mean,Median,Std,Min,Max,Real Value
Parameter 1,0.4828544949174997,0.475445,0.2171634688411885,3.5075e-07,0.99815,0.5
Parameter 2,0.36678782306000013,0.336745,0.25868439446959085,0.00010443,0.99559,0.3
Parameter 3,0.285949053487324,0.21093,0.27868883091885205,2.6755e-08,0.99808,0.2
Parameter 4,0.24496030115600007,0.11895,0.26012757853434226,3.5688e-05,0.99524,0.1
Parameter 5,0.2948816783139999,0.210395,0.22657348054571855,3.8257e-05,0.99234,0.2
Parameter 6,0.37755813080800016,0.319805,0.23668238153428486,6.5464e-05,0.99412,0.3
Parameter 7,0.2643756753832533,0.167495,0.29357485109684756,2.9941e-09,0.99679,0.1
Parameter 8,0.33156871280000044,0.29166000000000003,0.2563222666127075,0.0012066,0.99968,0.3
Parameter 9,0.38795039235599965,0.31527499999999997,0.21396425829263743,3.1234e-05,0.99268,0.3
Parameter 10,0.30881043700000005,0.20918,0.24205092938810882,0.0013776,0.99912,0.2
Parameter 11,0.2095301942000001,0.282625,0.5343160458445776,-0.98824,0.99961,0.4
