Parameter,Mean,Median,Std,Min,Max,Real Value,Size
Parameter 1,0.4491303390399996,0.42755,0.2492446620365378,0.00021524,0.99963,0.5,200
Parameter 2,0.3655527079539999,0.350945,0.2536487050599906,1.3947e-05,0.99736,0.3,200
Parameter 3,0.2448041733466861,0.1569749999999999,0.2753892532447382,1.0761e-08,1.0,0.2,200
Parameter 4,0.12740949879298,0.086112,0.1732130874730078,1.1963e-07,0.99704,0.1,200
Parameter 5,0.2171462980683998,0.18501,0.1779457631103784,5.9642e-06,0.99272,0.2,200
Parameter 6,0.2911842451284997,0.24391,0.2335758358101933,3.8715e-07,0.99931,0.3,200
Parameter 7,0.2091139848168099,0.0987265,0.2571091942821398,1.8503e-08,0.99998,0.1,200
Parameter 8,0.3329187999019998,0.308365,0.2552252301421709,2.9102e-05,0.99933,0.3,200
Parameter 9,0.2973290926297998,0.290035,0.1689571572455792,3.2369e-06,0.99653,0.3,200
Parameter 10,0.2037790388059998,0.177155,0.1678157444101366,8.0153e-05,0.99143,0.2,200
Parameter 11,0.22535823204,0.393575,0.6448921341523876,-0.9999,1.0,0.4,200
Parameter 1,0.4801191339999998,0.4602549999999999,0.235717717406489,0.0001813,1.0,0.5,500
Parameter 2,0.3725336298420001,0.35206,0.2694771647602742,1.0891e-05,0.99945,0.3,500
Parameter 3,0.2609495487899197,0.183635,0.2705922217294582,3.3407e-07,0.99896,0.2,500
Parameter 4,0.2354958462933997,0.11612,0.2684317354688265,2.9015e-07,0.9979,0.1,500
Parameter 5,0.31674341768,0.213335,0.2478460567588314,0.00080862,0.99414,0.2,500
Parameter 6,0.3586219983703998,0.319645,0.2435035629115576,2.2852e-06,0.99617,0.3,500
Parameter 7,0.2526229652718357,0.127575,0.2994440430447172,2.4898e-09,0.99893,0.1,500
Parameter 8,0.3363715215256002,0.301365,0.2703257712782612,4.4828e-06,0.99247,0.3,500
Parameter 9,0.3546589305900004,0.3146299999999999,0.1801171165986659,7.0261e-05,0.99638,0.3,500
Parameter 10,0.2773654945999998,0.20656,0.2177427113183657,0.0011425,0.98854,0.2,500
Parameter 11,0.2293541926399998,0.294855,0.5494655649768259,-0.99861,1.0,0.4,500
Parameter 1,0.4828544949174997,0.475445,0.2171634688411885,3.5075e-07,0.99815,0.5,1000
Parameter 2,0.3667878230600001,0.336745,0.2586843944695908,0.00010443,0.99559,0.3,1000
Parameter 3,0.285949053487324,0.21093,0.278688830918852,2.6755e-08,0.99808,0.2,1000
Parameter 4,0.244960301156,0.11895,0.2601275785343422,3.5688e-05,0.99524,0.1,1000
Parameter 5,0.2948816783139999,0.210395,0.2265734805457185,3.8257e-05,0.99234,0.2,1000
Parameter 6,0.3775581308080001,0.319805,0.2366823815342848,6.5464e-05,0.99412,0.3,1000
Parameter 7,0.2643756753832533,0.167495,0.2935748510968475,2.9941e-09,0.99679,0.1,1000
Parameter 8,0.3315687128000004,0.29166,0.2563222666127075,0.0012066,0.99968,0.3,1000
Parameter 9,0.3879503923559996,0.3152749999999999,0.2139642582926374,3.1234e-05,0.99268,0.3,1000
Parameter 10,0.308810437,0.20918,0.2420509293881088,0.0013776,0.99912,0.2,1000
Parameter 11,0.2095301942000001,0.282625,0.5343160458445776,-0.98824,0.99961,0.4,1000
