Size,Biais_0,Biais_1,Biais_2,Biais_3,Biais_4,Biais_5,Biais_6,Biais_7,Biais_8,Biais_9,Biais_10
size_200,-0.050869660960000396,0.06555270795399992,0.0448041733466861,0.02740949879297999,0.01714629806839979,-0.00881575487150027,0.1091139848168099,0.03291879990199981,-0.002670907370200204,0.0037790388059997793,-0.17464176796000003
size_500,-0.01988086600000022,0.07253362984200012,0.060949548789919705,0.1354958462933997,0.11674341767999996,0.05862199837039983,0.1526229652718357,0.03637152152560019,0.05465893059000043,0.0773654945999998,-0.17064580736000023
size_1000,-0.01714550508250029,0.06678782306000008,0.08594905348732401,0.144960301156,0.0948816783139999,0.07755813080800011,0.1643756753832533,0.0315687128000004,0.08795039235599961,0.10881043699999998,-0.19046980579999992
