Parameter,Mean,Median,Std,Min,Max,Real Value
Parameter 1,0.47598812682000013,0.463385,0.2525602096934797,0.0005698,1.0,0.5
Parameter 2,0.2995426687164002,0.23394500000000001,0.2689454279655768,1.4892e-06,0.99831,0.2
Parameter 3,0.33139870362,0.298895,0.2420599165534008,0.00011432,0.99926,0.3
Parameter 4,0.2868622108979997,0.21032499999999998,0.22172953087399846,8.7569e-05,0.99521,0.2
Parameter 5,0.4085518844621197,0.37073999999999996,0.28139323796889093,4.4951e-07,0.99985,0.3
Parameter 6,0.3831417609799999,0.36704000000000003,0.26493832507087867,0.00028529,0.99998,0.4
Parameter 7,0.28300248175851517,0.210495,0.256775253387894,9.2576e-09,0.99991,0.2
Parameter 8,0.34604819079999977,0.29978,0.19237485651944067,0.0031372,0.99592,0.3
Parameter 9,-0.2960129094000001,-0.398485,0.5097804475470876,-1.0,0.99103,-0.5
