Size,Parameter,Mean,Std,Median,Min,Max
200,1,0.6699940250214397,0.42870456447883387,0.5921321495033598,-0.42556396346920455,2.550031871680398
200,2,0.18711713232353908,0.375762064779705,0.2008883504106392,-0.8884938469100476,1.3223528559777233
200,3,0.2502129327722382,0.32134246569227537,0.2320105025537738,-0.5604355790261105,1.4475403888637968
200,4,0.09180654310828328,0.07207013541430449,0.09364527813500728,-0.13513765576365838,0.25942235124551316
200,5,0.18342664428768948,0.562137841648775,0.17842182892397118,-1.8248391411888398,2.3319713632004553
200,6,0.4119397167663212,0.39825706288426144,0.4137513512359121,-0.7786584418347553,2.3309637270622847
200,7,0.13248811838792673,0.38854973795488873,0.1337803559601942,-1.2774045036805803,1.463362721726473
200,8,0.2299961809361509,0.30657464399785994,0.23851810982256358,-0.7967078814688606,1.164842203436255
200,9,0.32627910563572415,0.5511494372896789,0.35277731423649883,-1.7945220242728053,2.2639136460862854
200,10,0.20088301914849993,0.07685687181652072,0.19916399214875286,-0.03438769552805093,0.4124890165579587
500,1,0.6018766697964026,0.2587888791123297,0.5668450542407888,0.04215901663130289,1.8329335000797007
500,2,0.21648271016882967,0.24913702029680315,0.25876444563793677,-0.6508717670973867,0.8511427953724116
500,3,0.24882971187705874,0.20553599646217072,0.22397626101925522,-0.420831603494414,0.8852621015644404
500,4,0.09428241693497567,0.04730096238354341,0.08935199968656808,-0.030444425521593488,0.25381849048035526
500,5,0.15740458825085482,0.388079494788166,0.16499598965894713,-1.4167488366849947,1.236937066550233
500,6,0.3421742806010029,0.2723804952530968,0.36135518114531945,-0.828859740372424,1.1884927805705408
500,7,0.10315134758743195,0.28119006951194747,0.07890367968441367,-1.14957980793129,1.2361857784655668
500,8,0.2865578384626397,0.2193273563414885,0.2872448378836086,-0.36793022882905047,1.170071982720104
500,9,0.3471397893816935,0.3793132518745048,0.37576564576927257,-0.9138447905417693,1.7916857067008145
500,10,0.1935094419111974,0.04756787733225936,0.19265176536791445,0.0718108165135316,0.3048403812897982
1000,1,0.5359585333638586,0.16654632932994118,0.5181776353693865,0.20767365749079186,1.072377666215322
1000,2,0.24034795608535767,0.2221601052260109,0.2625305075571309,-0.49315737694977435,0.7652323252576633
1000,3,0.2444400173603153,0.18785681813321845,0.23526304333911277,-0.24933851710282334,0.8822640825123137
1000,4,0.10080983326978459,0.032691487961776705,0.09996040182672719,0.02154556149487563,0.17871876361371083
1000,5,0.17332713295616387,0.3258730701442268,0.17881413511290276,-1.078133792925231,1.2554868834793234
1000,6,0.321415485414515,0.17557703751697762,0.32791506921457303,-0.3244924398722604,0.830681924952668
1000,7,0.12253734188806438,0.22661628064126882,0.10677030136096044,-0.49749361123637464,0.9449805133287634
1000,8,0.27523733325495503,0.18840885757099216,0.27522422695253324,-0.3350950993189405,0.8886070192858209
1000,9,0.3234214227182809,0.31784028677523735,0.333268986982174,-0.7618698536942975,1.5304960968074623
1000,10,0.1997247266656727,0.033668037673606016,0.19921350678672953,0.12389303065845406,0.2884871761256894
