Parameter,Mean,Median,Std,Min,Max,Real Value
Parameter 1,0.44913033903999966,0.42755,0.24924466203653786,0.00021524,0.99963,0.5
Parameter 2,0.36555270795399997,0.350945,0.25364870505999065,1.3947e-05,0.99736,0.3
Parameter 3,0.24480417334668617,0.15697499999999998,0.27538925324473823,1.0761e-08,1.0,0.2
Parameter 4,0.12740949879298,0.086112,0.17321308747300782,1.1963e-07,0.99704,0.1
Parameter 5,0.2171462980683998,0.18501,0.1779457631103784,5.9642e-06,0.99272,0.2
Parameter 6,0.2911842451284997,0.24391000000000002,0.23357583581019334,3.8715e-07,0.99931,0.3
Parameter 7,0.20911398481680996,0.0987265,0.2571091942821398,1.8503e-08,0.99998,0.1
Parameter 8,0.33291879990199985,0.308365,0.25522523014217097,2.9102e-05,0.99933,0.3
Parameter 9,0.29732909262979984,0.290035,0.16895715724557928,3.2369e-06,0.99653,0.3
Parameter 10,0.20377903880599987,0.177155,0.16781574441013666,8.0153e-05,0.99143,0.2
Parameter 11,0.22535823204,0.393575,0.6448921341523876,-0.9999,1.0,0.4
