Parameter,Mean,Median,Std,Min,Max,Real Value
Parameter 1,0.31127182000000014,0.302825,0.07960268486984345,0.12426,0.64284,0.3
Parameter 2,0.19644147252928015,0.19495,0.07589888552046554,2.7907e-08,0.40654,0.2
Parameter 3,0.49164795999999994,0.48929500000000004,0.047341729269624246,0.3383,0.62882,0.5
Parameter 4,0.10099745599999987,0.10253000000000001,0.03376829537918762,0.010992,0.21265,0.1
Parameter 5,0.49360792,0.48429,0.11270875599026721,0.22662,0.85998,0.5
Parameter 6,0.4049428199999998,0.40708,0.08005478927239519,0.14553,0.63431,0.4
Parameter 7,0.30233012000000026,0.299905,0.04471192981280944,0.18532,0.49181,0.3
Parameter 8,0.19523837600000002,0.196635,0.044732221517320425,0.062698,0.35647,0.2
Parameter 9,0.5843204389999995,0.653385,0.3618295352322244,-0.65662,1.0,0.7
