Parameter,Mean,Median,Std,Min,Max,Real Value
Parameter 1,0.6018766697964026,0.5668450542407888,0.2587888791123297,0.04215901663130289,1.8329335000797007,0.5
Parameter 2,0.21648271016882967,0.25876444563793677,0.24913702029680315,-0.6508717670973867,0.8511427953724116,0.3
Parameter 3,0.24882971187705874,0.22397626101925522,0.20553599646217072,-0.420831603494414,0.8852621015644404,0.2
Parameter 4,0.09428241693497567,0.08935199968656808,0.04730096238354341,-0.030444425521593488,0.25381849048035526,0.1
Parameter 5,0.15740458825085482,0.16499598965894713,0.388079494788166,-1.4167488366849947,1.236937066550233,0.2
Parameter 6,0.3421742806010029,0.36135518114531945,0.2723804952530968,-0.828859740372424,1.1884927805705408,0.3
Parameter 7,0.10315134758743195,0.07890367968441367,0.28119006951194747,-1.14957980793129,1.2361857784655668,0.1
Parameter 8,0.2865578384626397,0.2872448378836086,0.2193273563414885,-0.36793022882905047,1.170071982720104,0.3
Parameter 9,0.3471397893816935,0.37576564576927257,0.3793132518745048,-0.9138447905417693,1.7916857067008145,0.3
Parameter 10,0.1935094419111974,0.19265176536791445,0.04756787733225936,0.0718108165135316,0.3048403812897982,0.2
