Parameter,Mean,Median,Std,Min,Max,Real Value,Size
Parameter 1,0.3196340050251256,0.30198,0.1371710402059812,0.040021,0.80651,0.3,200
Parameter 2,0.1920805581970311,0.19048,0.1067828609562799,7.0392e-09,0.50694,0.2,200
Parameter 3,0.4881345728643214,0.49213,0.0736519944204091,0.31384,0.70317,0.5,200
Parameter 4,0.1032804526130652,0.1005,0.053663845568282,2.349e-05,0.28174,0.1,200
Parameter 5,0.5219075376884419,0.50213,0.1704796340021732,0.15811,0.99991,0.5,200
Parameter 6,0.4043126532663316,0.41895,0.1343781154833616,0.001957,0.77339,0.4,200
Parameter 7,0.3099344723618092,0.30809,0.0770514315253031,0.11255,0.49852,0.3,200
Parameter 8,0.1784870287035175,0.17049,0.0703002214721761,2.4672e-05,0.38102,0.2,200
Parameter 9,0.501381281407035,0.65378,0.5165503518788482,-0.99999,1.0,0.7,200
Parameter 1,0.3051519597989949,0.30022,0.0866680480827319,0.12659,0.59932,0.3,500
Parameter 2,0.1892091982066532,0.19068,0.0702430777057796,5.3624e-08,0.35599,0.2,500
Parameter 3,0.4987585427135678,0.49687,0.0449435537704185,0.36891,0.63092,0.5,500
Parameter 4,0.1055769999999999,0.10289,0.0332740246707389,0.022258,0.22736,0.1,500
Parameter 5,0.5211016080402011,0.50754,0.1151225399321491,0.27601,0.9206,0.5,500
Parameter 6,0.391798391959799,0.38793,0.0830395877524547,0.17307,0.62088,0.4,500
Parameter 7,0.3053542211055275,0.30397,0.0457101484203937,0.18559,0.43651,0.3,500
Parameter 8,0.1975082713567839,0.19507,0.0455765590644743,0.075217,0.32582,0.2,500
Parameter 9,0.5909275758793969,0.6954,0.3933084016389387,-0.70259,1.0,0.7,500
Parameter 1,0.3121376381909547,0.3133,0.0579456104099235,0.16529,0.49225,0.3,1000
Parameter 2,0.1927240703517587,0.19513,0.0514242503743896,0.063902,0.34308,0.2,1000
Parameter 3,0.5000454271356781,0.50102,0.0336046094991658,0.37077,0.61111,0.5,1000
Parameter 4,0.1008828140703518,0.10044,0.0230788359780364,0.034056,0.1722,0.1,1000
Parameter 5,0.509238190954774,0.49796,0.0813561762548966,0.2917,0.79656,0.5,1000
Parameter 6,0.4052572864321612,0.41119,0.0536239242402866,0.22714,0.54793,0.4,1000
Parameter 7,0.3005943718592965,0.29695,0.0342219258594554,0.22396,0.42275,0.3,1000
Parameter 8,0.1915341708542711,0.19165,0.0308795517742705,0.11054,0.29324,0.2,1000
Parameter 9,0.6683147246231157,0.70757,0.2811875908390574,-0.26717,1.0,0.7,1000
