Size,Biais_0,Biais_1,Biais_2,Biais_3,Biais_4,Biais_5,Biais_6,Biais_7,Biais_8
size_200,0.019634005025125634,-0.007919441802968913,-0.011865427135678619,0.003280452613065199,0.02190753768844189,0.0043126532663315675,0.009934472361809221,-0.021512971296482525,-0.19861871859296498
size_500,0.0051519597989949095,-0.010790801793346821,-0.0012414572864322126,0.005576999999999888,0.021101608040201114,-0.008201608040201036,0.0053542211055275235,-0.002491728643216118,-0.10907242412060303
size_1000,0.012137638190954703,-0.007275929648241308,4.542713567812218e-05,0.0008828140703517895,0.009238190954773962,0.005257286432161168,0.0005943718592965053,-0.00846582914572891,-0.03168527537688426
