Size,Biais_0,Biais_1,Biais_2,Biais_3,Biais_4,Biais_5,Biais_6
size_200,0.009799899497487385,0.0033281410112562804,-0.02517241206030152,0.026246733668341737,-0.018203562198748746,-0.001762964824120583,0.015359869826583328
size_500,0.01217462311557782,-0.007251546134904502,-0.008299246231156021,0.014719195979899458,-0.006583236180904506,-0.00722557788944711,0.012650193197085269
size_1000,0.0012527135678391255,0.001989211055276302,-0.003762160804020198,0.016811256281406894,-0.011580402010050339,-0.00021809045226117707,0.025116248743718428
