Parameter,Mean,Median,Std,Min,Max,Real Value,Size
Parameter 1,0.5146873517587938,0.48538,0.2308759560430248,0.019703,0.99999,0.5,200
Parameter 2,0.3159531261306533,0.31574,0.2033805239309696,0.0045907,0.85164,0.3,200
Parameter 3,0.1875817199581446,0.16995,0.1721698391369244,8.9208e-09,0.66703,0.2,200
Parameter 4,0.0843475748486125,0.084917,0.059222843178683,2.9239e-09,0.29564,0.1,200
Parameter 5,0.2060560030150753,0.20978,0.0693263083354139,0.0018646,0.36394,0.2,200
Parameter 6,0.289225812798995,0.28043,0.1882800469363767,1.7286e-05,0.86473,0.3,200
Parameter 7,0.1508267713421105,0.11366,0.1431719382131261,2.0645e-07,0.57273,0.1,200
Parameter 8,0.2635942341708542,0.25266,0.1568307495441447,0.0011453,0.66569,0.3,200
Parameter 9,0.3030671809045225,0.30154,0.0735454225946152,0.083409,0.49887,0.3,200
Parameter 10,0.1892965700201005,0.19159,0.0738031207225851,2.234e-06,0.38282,0.2,200
Parameter 11,0.3460530628140705,0.53276,0.6110908015861789,-0.99745,1.0,0.4,200
Parameter 1,0.5024724874371855,0.47767,0.1773741376922774,0.090675,0.99357,0.5,500
Parameter 2,0.3092726695979899,0.29831,0.1778005194387752,9.65e-06,0.70525,0.3,500
Parameter 3,0.1976818242285428,0.19644,0.1513157986537898,1.409e-08,0.63386,0.2,500
Parameter 4,0.0917689525979899,0.090475,0.0420613979818751,6.1467e-05,0.25681,0.1,500
Parameter 5,0.2002395778894471,0.20092,0.0462380185177191,0.088768,0.32979,0.2,500
Parameter 6,0.3034089733668341,0.30339,0.1597624211364813,0.0035028,0.91058,0.3,500
Parameter 7,0.1317179774459909,0.09906,0.1330684917546656,7.7582e-09,0.54325,0.1,500
Parameter 8,0.2731454944723619,0.28133,0.1298303883285466,0.0048894,0.55163,0.3,500
Parameter 9,0.303016281407035,0.30345,0.0456306824642363,0.16832,0.40709,0.3,500
Parameter 10,0.1921021256281405,0.19181,0.0443301630417239,0.091281,0.31985,0.2,500
Parameter 11,0.2881126591959799,0.39391,0.507651290713936,-0.99161,0.99999,0.4,500
Parameter 1,0.5031234170854272,0.50282,0.1335009600378854,0.19893,0.92517,0.5,1000
Parameter 2,0.2860782618090453,0.29663,0.1611033605705297,0.0027865,0.60204,0.3,1000
Parameter 3,0.2136562757966089,0.20751,0.142434962013832,6.3392e-09,0.57235,0.2,1000
Parameter 4,0.0978241859296482,0.0975,0.0308691841544672,0.024113,0.16462,0.1,1000
Parameter 5,0.201773567839196,0.20253,0.0317988038053545,0.10725,0.29142,0.2,1000
Parameter 6,0.2950219246231156,0.30342,0.1231531873058398,0.012536,0.69906,0.3,1000
Parameter 7,0.1360428830085025,0.097498,0.1365660829615249,1.0242e-08,0.60912,0.1,1000
Parameter 8,0.2692223763819096,0.29256,0.1175149022193599,0.0018732,0.47898,0.3,1000
Parameter 9,0.2983057788944725,0.29752,0.0328241194299728,0.20712,0.39121,0.3,1000
Parameter 10,0.1984587939698491,0.1972,0.0318919930650479,0.1149,0.27994,0.2,1000
Parameter 11,0.3841302869346731,0.42126,0.3882388016877809,-0.89515,0.99984,0.4,1000
