SampleSize,MeanThetaHat_1,MeanThetaHat_2,MeanThetaHat_3,MeanThetaHat_4,MeanThetaHat_5,MeanThetaHat_6,MeanThetaHat_7,StdThetaHat_1,StdThetaHat_2,StdThetaHat_3,StdThetaHat_4,StdThetaHat_5,StdThetaHat_6,StdThetaHat_7,MADE_1,MADE_2,MADE_3,MADE_4,MADE_5,MADE_6,MADE_7,MSE_1,MSE_2,MSE_3,MSE_4,MSE_5,MSE_6,MSE_7
200,0.311864351618352,0.200185291466252,0.471757247757458,0.534793727980772,0.373572846437505,0.296949184158835,0.687382923662924,0.0921470103734581,0.115558989415847,0.0908196507661883,0.197444350971258,0.150431257423667,0.0737027160988558,0.49799816375655,0.0867010824452928,0.0960244021318771,0.0725468858156176,0.201494377968607,0.134075656051062,0.0576807335865468,0.472022359157914,0.0111430129604244,0.0138649668701035,0.00824678471150806,0.0554068755014069,0.026573293060614,0.00541267243828232,0.323771524683537
500,0.311807263146558,0.19126486278605,0.488966162944025,0.512609007043411,0.391419683042051,0.291103026854258,0.703348122904351,0.0655503477657772,0.0867613002446219,0.064636372767061,0.125177229885095,0.101990230228557,0.0530378677070537,0.358602495386126,0.051520772606659,0.0674374240816261,0.0472005172476243,0.109281613551587,0.0821608093665158,0.0405764251290847,0.560388653417431,0.00440307568097392,0.00758225599827052,0.0041699728425649,0.0185386618752466,0.0109836428237525,0.00279955954509926,0.425779506171491
1000,0.30043892808436,0.20015582153339,0.49406143678851,0.517012608475801,0.384754626635945,0.298507819511161,0.720690967793752,0.049447193909941,0.0638181366440867,0.0522651111813919,0.0940042095119731,0.0753695733820484,0.0381317883415065,0.267618394050164,0.0399534914129481,0.0528777526660107,0.0342925500581523,0.0755243681834399,0.0579041252433633,0.0260533285312156,0.297901556546693,0.00271667592109565,0.00412136512134548,0.00272608968551406,0.00935386849091732,0.00570996546402487,0.00144689041659093,0.133712423433748
