SampleSize,MeanThetaHat_1,MeanThetaHat_2,MeanThetaHat_3,MeanThetaHat_4,MeanThetaHat_5,MeanThetaHat_6,MeanThetaHat_7,MeanThetaHat_8,MeanThetaHat_9,StdThetaHat_1,StdThetaHat_2,StdThetaHat_3,StdThetaHat_4,StdThetaHat_5,StdThetaHat_6,StdThetaHat_7,StdThetaHat_8,StdThetaHat_9,MADE_1,MADE_2,MADE_3,MADE_4,MADE_5,MADE_6,MADE_7,MADE_8,MADE_9,MSE_1,MSE_2,MSE_3,MSE_4,MSE_5,MSE_6,MSE_7,MSE_8,MSE_9
200,0.491578323300868,0.224829499553655,0.285173253044677,0.18744692241903,0.388491749764785,0.331739244754984,0.23757065252052,0.282136621646317,0.14119773903162,0.322965418375246,0.198186617073076,0.16342212516077,0.0760634735002378,0.306139754151695,0.203622892453106,0.173504870894863,0.0756219250472982,0.243104070383093,0.292549839673437,0.166282880866788,0.137750702172517,0.0602160146902132,0.337353743817657,0.162928027240863,0.144632177652421,0.0601268630128858,0.149634775503858,0.121139259909243,0.0463223220480933,0.027186322954278,0.00577414744930414,0.158563281571542,0.0448213257901592,0.0341666408030134,0.00575031220777122,0.0588045652610466
500,0.49905606286141,0.206318254493346,0.296917327865308,0.194630556329044,0.368941629205653,0.367058389124383,0.198500827199816,0.291447805326112,0.0586733580285077,0.246614921237745,0.145551734016714,0.107797604502507,0.0481233504680461,0.246429464882362,0.15519526251064,0.127933263096954,0.0509892258864488,0.106882667277712,0.216216387088537,0.119071945618671,0.0855790385351835,0.0386497142784511,0.21248254363246,0.128190070469409,0.105228803762806,0.0371121754588735,0.371815787469971,0.0692438278861005,0.0230031055578948,0.0116079970058754,0.002329381620707,0.0683332701185388,0.0242706892308128,0.016911299957266,0.00261051787482764,0.14319962603029
1000,0.497226636359741,0.201452837711973,0.296055288752366,0.194764694354098,0.334644484556544,0.38138306934285,0.201247046305018,0.297578110958969,0.0207374260975911,0.184325813859085,0.112825314929652,0.0789728360118265,0.0338312265571537,0.18273777869083,0.122098353150379,0.0883509547673488,0.0378996838239855,0.0325848923998118,0.155179631390475,0.0910326028099369,0.0622101587821783,0.0256503737960498,0.149505393164422,0.0976593892986549,0.0742377562507823,0.0265317532910273,0.894998099091476,0.0355598961656755,0.012869044177762,0.0062382701926265,0.00114105346645268,0.0339684244724642,0.0149219567738064,0.00806064866440211,0.00143389844585553,0.802078063713999
