SampleSize,MeanThetaHat_1,MeanThetaHat_2,MeanThetaHat_3,MeanThetaHat_4,MeanThetaHat_5,MeanThetaHat_6,MeanThetaHat_7,MeanThetaHat_8,MeanThetaHat_9,MeanThetaHat_10,MeanThetaHat_11,StdThetaHat_1,StdThetaHat_2,StdThetaHat_3,StdThetaHat_4,StdThetaHat_5,StdThetaHat_6,StdThetaHat_7,StdThetaHat_8,StdThetaHat_9,StdThetaHat_10,StdThetaHat_11,MADE_1,MADE_2,MADE_3,MADE_4,MADE_5,MADE_6,MADE_7,MADE_8,MADE_9,MADE_10,MADE_11,MSE_1,MSE_2,MSE_3,MSE_4,MSE_5,MSE_6,MSE_7,MSE_8,MSE_9,MSE_10,MSE_11
200,0.550495132255091,0.29618800450255,0.188605552785696,0.0840314013209672,0.206894857651519,0.298009637033087,0.142319973131823,0.264944834383088,0.302271689081484,0.188266352169431,0.709846625385202,0.261695846390132,0.199670355797545,0.164987356269283,0.0589411121106699,0.0716740900713257,0.190744807552046,0.145542300085168,0.157163689405296,0.0759044328432485,0.0739190026411129,0.586451975300833,0.231393799993455,0.188055172031165,0.151463462885238,0.0485852055253737,0.0623924136899802,0.187128966623632,0.11956275405336,0.128800688663981,0.0620485314627784,0.0598357052442612,0.554411541979834,0.0823998148789378,0.0515691024557448,0.0308785995177194,0.00351703554879422,0.0056634976476799,0.049172678476762,0.0211750541754467,0.0258050635580851,0.0063052395740421,0.0055937911846403,0.528267737543328
500,0.517735477176942,0.296903604172604,0.200680901468547,0.0915045392744718,0.199313918120317,0.312782275129525,0.126373112596168,0.271499721422564,0.301546558239963,0.19198042467741,0.478506562549173,0.190250250040437,0.182613468853317,0.159443052524458,0.043445281584298,0.0485255717796067,0.164283945271858,0.134972724360688,0.133799902881059,0.0503521084091421,0.0463996957276745,0.42418003785642,0.170074325870937,0.164664864471303,0.143222117206361,0.0348123140527225,0.0520056266194501,0.126723506471309,0.105482663664121,0.109232434308745,0.0529397289500061,0.0360991816344483,0.357980511563139,0.0430810258497149,0.0396617708963875,0.0276104242068051,0.00188532053800212,0.0040997339931517,0.0277137975922974,0.0186681859096535,0.0180379102983265,0.00459777420332489,0.00214447621396369,0.183704195690979
1000,0.504285706159824,0.28388019257923,0.212278470330077,0.097137911854093,0.20077416441266,0.299974738105258,0.128794129169141,0.271731842249539,0.296511779056875,0.197855757303964,0.474010968739638,0.139126239765311,0.164301341539581,0.143182170292267,0.0314007506024065,0.0349194146538696,0.123152413333601,0.133742456386343,0.117220311122876,0.0389718149254077,0.0350121935368631,0.349738106062846,0.113424636589489,0.145812814707047,0.123001905929852,0.0255382207502475,0.0359092918959912,0.0980033337540715,0.107319275833433,0.0954537593276912,0.0354606636557626,0.0263627979836244,0.524340512316758,0.0202587936132916,0.0287591893627904,0.0214304208884914,0.000994487992290952,0.00196809840234392,0.015549726172599,0.0178372254790494,0.0136839264512273,0.00223418477227366,0.00122312565890333,0.355473412229084
