0.36441,0.047738,0.52227,0.42381,0.50826,0.19729,1.1278
0.39657,3.5872e-05,0.53331,0.50674,0.52333,0.12802,0.20408
0.26333,0.28722,0.45203,0.96609,0.13391,0.30135,1.867e-06
0.39271,0.094685,0.53761,0.47012,0.34779,0.33175,0.97468
0.26127,0.24872,0.49189,0.54703,0.39662,0.3135,0.89477
0.30679,0.22561,0.51545,0.58185,0.31293,0.33858,1.4035
0.20584,0.25081,0.51493,0.56761,0.43462,0.25519,0.11563
0.22408,0.2669,0.50398,0.53141,0.29991,0.34669,0.0064195
0.39936,0.072739,0.55319,0.44182,0.48608,0.28287,1.19
0.32359,0.24939,0.51269,0.31495,0.58212,0.24926,1.3366
0.39559,0.14324,0.50095,0.87146,0.069329,0.36406,1.4477
0.54134,0.094426,0.54559,0.29669,0.64193,0.15694,0.46599
0.42972,0.10523,0.44478,1.0522,0.15528,0.19735,0.7199
0.18463,0.30936,0.43899,0.58959,0.27619,0.42337,0.56128
0.31681,0.26038,0.30355,0.31263,0.54889,0.29447,0.67636
0.24574,0.37667,0.35526,0.22741,0.56953,0.29321,0.28733
0.22196,0.2436,0.42701,0.47899,0.46122,0.24756,0.54629
0.35239,0.059587,0.59642,0.42786,0.46159,0.29602,0.13716
0.27645,0.10747,0.55293,0.4659,0.36932,0.33294,0.54725
0.37369,0.16207,0.41954,0.58985,0.33212,0.27638,0.70088
0.61473,0.06853,0.43827,0.22327,0.56624,0.30696,0.79965
0.29789,0.34365,0.33628,0.76207,0.18525,0.30828,0.93084
0.39038,0.13004,0.38526,0.29546,0.63487,0.1754,1.8479
0.29556,0.29788,0.44862,0.47169,0.52175,0.24492,0.76523
0.38456,0.016611,0.56394,0.45204,0.31229,0.38378,0.88889
0.27354,0.22503,0.36536,0.74581,0.30529,0.25918,0.77799
0.29653,0.27332,0.32099,0.48083,0.48394,0.23994,0.99933
0.33659,0.14273,0.57842,0.48058,0.37813,0.33143,1.1828
0.28472,0.24271,0.47982,0.25454,0.70916,0.12825,0.4997
0.42489,0.11819,0.41207,0.42025,0.45103,0.33746,0.72035
0.32644,0.40804,0.35285,0.58822,0.19928,0.42145,3.1338e-07
0.36655,0.017635,0.49788,0.28257,0.56619,0.28165,0.82599
0.27406,0.31265,0.43488,0.88273,0.22811,0.28647,1.0778
0.51095,0.066587,0.55246,0.75343,0.23564,0.28917,1.3667
0.16475,0.34493,0.3765,0.39619,0.52321,0.27332,1.362
0.33657,0.17353,0.5694,0.64254,0.31527,0.37398,0.35761
0.32885,0.018861,0.57449,0.43335,0.38962,0.37169,0.28241
0.26768,0.26198,0.35144,0.27473,0.59519,0.18465,1.215
0.2856,0.231,0.39435,0.34606,0.47193,0.29663,1.8836
0.34088,0.15396,0.49306,0.3437,0.5223,0.28006,9.4277e-08
0.31986,0.15031,0.54681,0.60739,0.39501,0.2781,0.068425
0.41667,0.080953,0.5496,0.34618,0.53549,0.27627,5.9641e-08
0.22888,0.22414,0.57609,0.59265,0.31121,0.35001,1.1685
