Parameter,Mean,Median,Std,Min,Max,Real Value,Size
Parameter 1,0.3097998994974874,0.29822,0.0885236029394242,0.10146,0.63749,0.3,200
Parameter 2,0.2033281410112563,0.1961,0.1155647712308532,3.559e-08,0.51,0.2,200
Parameter 3,0.4748275879396985,0.48132,0.0835839128640155,0.26472,0.68137,0.5,200
Parameter 4,0.5262467336683417,0.50389,0.1855820766717341,0.18532,1.2278,0.5,200
Parameter 5,0.3817964378012513,0.38249,0.1450766287461232,2.6228e-08,0.70092,0.4,200
Parameter 6,0.2982370351758794,0.29619,0.0703898113826582,0.13046,0.51378,0.3,200
Parameter 7,0.7153598698265833,0.72023,0.4966133381700463,9.898e-08,2.0,0.7,200
Parameter 1,0.3121746231155778,0.30438,0.0619516221917928,0.17594,0.50656,0.3,500
Parameter 2,0.1927484538650955,0.18539,0.0868298830859384,2.9934e-08,0.50487,0.2,500
Parameter 3,0.491700753768844,0.48942,0.054686340112584,0.32875,0.64723,0.5,500
Parameter 4,0.5147191959798995,0.50431,0.1258503306111328,0.22928,0.89095,0.5,500
Parameter 5,0.3934167638190955,0.39579,0.1021194811550488,0.092768,0.69486,0.4,500
Parameter 6,0.2927744221105529,0.29039,0.0491625197307266,0.15806,0.44997,0.3,500
Parameter 7,0.7126501931970852,0.73856,0.3539333971426555,6.1622e-07,1.5111,0.7,500
Parameter 1,0.3012527135678391,0.29652,0.0444667370536037,0.19744,0.41392,0.3,1000
Parameter 2,0.2019892110552763,0.20879,0.0621910941202601,0.059879,0.36559,0.2,1000
Parameter 3,0.4962378391959798,0.49745,0.0385506554031749,0.38346,0.59195,0.5,1000
Parameter 4,0.5168112562814069,0.50184,0.0885392548487705,0.25988,0.82543,0.5,1000
Parameter 5,0.3884195979899497,0.38555,0.0714897213670952,0.19556,0.63895,0.4,1000
Parameter 6,0.2997819095477388,0.30059,0.0318812598247296,0.20261,0.41525,0.3,1000
Parameter 7,0.7251162487437184,0.73712,0.2624008153889649,0.0081135,1.4265,0.7,1000
