Parameter,Mean,Median,Std,Min,Max
Parameter 1,0.4444530762000001,0.449475,0.3474637839576414,0.0042321,1.9996
Parameter 2,0.40559864,0.245765,0.1947699766189603,0.17934,0.67254
Parameter 3,0.5764045399999996,0.24312,0.3767050744531965,0.11655,0.99997
Parameter 4,0.0904910115799999,0.0875799999999999,0.0218868659210682,0.00060719,0.33367
Parameter 5,0.3742409512239998,0.138525,0.3374069257987754,3.5592e-05,1.015
Parameter 6,0.1332970851999999,0.219675,0.1031082654316051,0.0060269,0.2504
Parameter 7,0.1461835220000001,0.026333,0.1521461404882141,0.0024248,0.4332
Parameter 8,0.08912304,0.0951154999999999,0.0166684691822134,0.050214,0.13132
Parameter 9,1.839472799999999,1.9851,0.1736886698094035,1.305,1.9998
