Parameter,Mean,Median,Std,Min,Max
Parameter 1,0.4444530762000001,0.449475,0.34746378395764144,0.0042321,1.9996
Parameter 2,0.40559864,0.245765,0.19476997661896037,0.17934,0.67254
Parameter 3,0.5764045399999996,0.24312,0.3767050744531965,0.11655,0.99997
Parameter 4,0.09049101157999993,0.08757999999999999,0.021886865921068234,0.00060719,0.33367
Parameter 5,0.3742409512239998,0.138525,0.3374069257987754,3.5592e-05,1.015
Parameter 6,0.13329708519999994,0.219675,0.10310826543160517,0.0060269,0.2504
Parameter 7,0.1461835220000001,0.026333,0.1521461404882141,0.0024248,0.4332
Parameter 8,0.08912304000000001,0.09511549999999999,0.016668469182213465,0.050214,0.13132
Parameter 9,1.839472799999999,1.9851,0.1736886698094035,1.305,1.9998
