Parameter,Mean,Median,Std,Min,Max,Real Value,Size
Parameter 1,0.3179420307212,0.293645,0.130929073103875,7.3606e-06,0.80356,0.3,200
Parameter 2,0.1920791289344421,0.18333,0.1143356928445296,1.3051e-08,0.53104,0.2,200
Parameter 3,0.48964604,0.48653,0.0808911507219325,0.22069,0.69718,0.5,200
Parameter 4,0.1017117407438379,0.10235,0.0527442023859791,2.6219e-08,0.27113,0.1,200
Parameter 5,0.4896476199999999,0.471725,0.1627575665391185,0.13104,0.99753,0.5,200
Parameter 6,0.4177587313835999,0.42812,0.1243713168382242,5.6918e-06,0.79462,0.4,200
Parameter 7,0.3056446400000001,0.303645,0.073820225529799,0.11187,0.57774,0.3,200
Parameter 8,0.1794674718,0.179745,0.0732137660137762,0.0013388,0.3758,0.2,200
Parameter 9,0.4934027489999999,0.681365,0.5240302018183811,-0.99999,1.0,0.7,200
Parameter 1,0.3114555199999999,0.30337,0.0795829280758732,0.12459,0.63306,0.3,500
Parameter 2,0.1965562127322002,0.194545,0.0757005695206196,2.7601e-06,0.40721,0.2,500
Parameter 3,0.4916022,0.488655,0.0473980047634918,0.3383,0.6289,0.5,500
Parameter 4,0.1009146659999999,0.102685,0.0337052303464379,0.011142,0.21219,0.1,500
Parameter 5,0.4949664400000001,0.48528,0.1138280462317015,0.22532,0.87,0.5,500
Parameter 6,0.40409864,0.406355,0.0802549260678146,0.14554,0.63425,0.4,500
Parameter 7,0.3025959200000001,0.30022,0.0447089433754992,0.18514,0.49177,0.3,500
Parameter 8,0.1954039460000001,0.19662,0.0446839677739912,0.063606,0.35642,0.2,500
Parameter 9,0.5801315993400004,0.642835,0.359808891192611,-0.65939,1.0,0.7,500
Parameter 1,0.3088321599999998,0.30568,0.0553498903172752,0.1721,0.50975,0.3,1000
Parameter 2,0.1932112200000001,0.18977,0.055109272706139,0.04379,0.35824,0.2,1000
Parameter 3,0.4989042999999995,0.49888,0.0354170455192129,0.38408,0.59764,0.5,1000
Parameter 4,0.100806766,0.10206,0.0234063670106072,0.044218,0.18414,0.1,1000
Parameter 5,0.5060926599999997,0.49868,0.081597594250838,0.32018,0.80112,0.5,1000
Parameter 6,0.4005011599999993,0.4037199999999999,0.056717050881145,0.2261,0.54514,0.4,1000
Parameter 7,0.30110446,0.301025,0.0343532354037927,0.19899,0.41312,0.3,1000
Parameter 8,0.1968011799999999,0.195295,0.0310257705658956,0.10828,0.28638,0.2,1000
Parameter 9,0.6573008337399991,0.70641,0.2845861450403217,-0.3416,1.0,0.7,1000
