3.367499999999999938e-01,6.146700000000000497e-01,8.189000000000000098e-03,5.513799999999999951e-02,1.986700000000000133e-01,4.116799999999999904e-01,6.071199999999999687e-03,3.331299999999999817e-01,3.116200000000000081e-01,1.907300000000000106e-01,2.104399999999999882e-01
5.161900000000000377e-01,4.465100000000000180e-01,8.385899999999999951e-03,1.076000000000000012e-01,2.591399999999999815e-01,1.332599999999999896e-01,3.137499999999999734e-01,1.455200000000000105e-01,3.044799999999999729e-01,1.999400000000000066e-01,7.793200000000000127e-01
4.042200000000000237e-01,5.263499999999999845e-01,1.027799999999999979e-07,9.236700000000000466e-02,2.133299999999999919e-01,2.772800000000000264e-01,1.150199999999999972e-01,3.141100000000000003e-01,2.320699999999999985e-01,2.365400000000000003e-01,3.799399999999999999e-01
8.927300000000000235e-01,2.892899999999999916e-01,5.742200000000000082e-02,8.620700000000000585e-02,2.238300000000000012e-01,1.933899999999999855e-02,3.517500000000000071e-01,2.290699999999999958e-01,2.111599999999999866e-01,2.003300000000000081e-01,6.266500000000000403e-01
5.119299999999999962e-01,3.214000000000000190e-01,7.811099999999999988e-02,1.665200000000000014e-01,2.432799999999999963e-01,1.280600000000000072e-01,2.822299999999999809e-01,2.232099999999999917e-01,2.923299999999999788e-01,1.552499999999999991e-01,3.388800000000000145e-01
4.184300000000000241e-01,1.998099999999999876e-01,2.869999999999999774e-01,1.083400000000000057e-01,2.106999999999999984e-01,3.430500000000000216e-01,5.228599999999999914e-02,2.505000000000000004e-01,3.249199999999999866e-01,2.726299999999999835e-01,6.249799999999999800e-01
4.072500000000000009e-01,2.981500000000000261e-01,2.294200000000000128e-01,8.406800000000000384e-02,2.125599999999999989e-01,3.366600000000000148e-01,4.355399999999999723e-03,4.317900000000000071e-01,2.650699999999999723e-01,1.436099999999999877e-01,9.940200000000000147e-01
5.797999999999999821e-01,1.411799999999999999e-01,3.290899999999999936e-01,8.726399999999999435e-02,1.694599999999999995e-01,2.953200000000000269e-01,1.267500000000000050e-02,3.217599999999999905e-01,3.584100000000000064e-01,2.072499999999999898e-01,-1.552900000000000114e-01
6.032600000000000184e-01,2.830599999999999783e-01,6.540500000000000480e-02,1.387500000000000122e-01,2.572400000000000242e-01,9.472200000000000064e-02,3.165000000000000036e-01,9.372099999999999875e-02,3.919500000000000206e-01,2.247699999999999976e-01,4.213100000000000178e-01
8.103799999999999892e-01,1.713999999999999968e-01,2.053999999999999992e-01,6.561999999999999778e-02,2.474200000000000010e-01,5.239700000000000468e-01,2.540500000000000223e-04,2.621800000000000241e-01,2.829499999999999793e-01,2.673699999999999966e-01,-3.176499999999999879e-01
4.656100000000000239e-01,3.110899999999999777e-01,2.772399999999999864e-01,4.781599999999999739e-02,1.606899999999999995e-01,1.884699999999999986e-01,4.970700000000000118e-02,4.458099999999999841e-01,2.970999999999999752e-01,1.553400000000000059e-01,3.143599999999999867e-02
