Parameter,Mean,Median,Std,Min,Max,Real Value
Parameter 1,0.5024724874371855,0.47767,0.17737413769227744,0.090675,0.99357,0.5
Parameter 2,0.3092726695979899,0.29831,0.1778005194387752,9.65e-06,0.70525,0.3
Parameter 3,0.19768182422854286,0.19644,0.15131579865378983,1.409e-08,0.63386,0.2
Parameter 4,0.09176895259798998,0.090475,0.04206139798187518,6.1467e-05,0.25681,0.1
Parameter 5,0.20023957788944716,0.20092,0.046238018517719144,0.088768,0.32979,0.2
Parameter 6,0.30340897336683414,0.30339,0.1597624211364813,0.0035028,0.91058,0.3
Parameter 7,0.13171797744599098,0.09906,0.1330684917546656,7.7582e-09,0.54325,0.1
Parameter 8,0.27314549447236197,0.28133,0.12983038832854665,0.0048894,0.55163,0.3
Parameter 9,0.303016281407035,0.30345,0.04563068246423634,0.16832,0.40709,0.3
Parameter 10,0.19210212562814058,0.19181,0.04433016304172392,0.091281,0.31985,0.2
Parameter 11,0.28811265919597995,0.39391,0.507651290713936,-0.99161,0.99999,0.4
