Parameter,Mean,Median,Std,Min,Max,Real Value,MADE,MSE
Parameter 1,0.5359585333638586,0.5181776353693865,0.1665463293299411,0.2076736574907918,1.072377666215322,0.5,0.13106869842016505,0.029030695934956968
Parameter 2,0.2403479560853576,0.2625305075571309,0.2221601052260109,-0.4931573769497743,0.7652323252576633,0.3,0.18059588814368602,0.05291347869722663
Parameter 3,0.2444400173603153,0.2352630433391127,0.1878568181332184,-0.2493385171028233,0.8822640825123137,0.2,0.15220220070531323,0.03726509926212222
Parameter 4,0.1008098332697845,0.0999604018267271,0.0326914879617767,0.0215455614948756,0.1787187636137108,0.1,0.026657806479736836,0.0010693892150798418
Parameter 5,0.1733271329561638,0.1788141351129027,0.3258730701442268,-1.078133792925231,1.2554868834793234,0.2,0.2516750972796638,0.10690469968156234
Parameter 6,0.321415485414515,0.327915069214573,0.1755770375169776,-0.3244924398722604,0.830681924952668,0.3,0.14036810991171925,0.03128591911877748
Parameter 7,0.1225373418880643,0.1067703013609604,0.2266162806412688,-0.4974936112363746,0.9449805133287634,0.1,0.17314173477782405,0.051862870431061824
Parameter 8,0.275237333254955,0.2752242269525332,0.1884088575709921,-0.3350950993189405,0.8886070192858209,0.3,0.14665159054814528,0.036111087275532555
Parameter 9,0.3234214227182809,0.333268986982174,0.3178402867752373,-0.7618698536942975,1.5304960968074623,0.3,0.24472848385988563,0.10157101093951361
Parameter 10,0.1997247266656727,0.1992135067867295,0.033668037673606,0.123893030658454,0.2884871761256894,0.2,0.027171826951223426,0.0011336125361999462
