Parameter,Mean,Median,Std,Min,Max,Real Value,Size
Parameter 1,0.4298765599260004,0.41983,0.2402227100144763,5.5343e-05,1.0,0.5,200
Parameter 2,0.2552558969844621,0.21791,0.1849539719409683,1.5221e-08,0.85468,0.2,200
Parameter 3,0.3036162467999997,0.2939049999999999,0.1627833727685166,0.0019572,0.82862,0.3,200
Parameter 4,0.1829513280755998,0.184295,0.0748674041238873,9.8378e-06,0.42036,0.2,200
Parameter 5,0.316142218587618,0.293495,0.2347517441577067,9.3809e-08,0.99978,0.3,200
Parameter 6,0.3806196711119147,0.37417,0.1886850112729885,2.8573e-09,0.93087,0.4,200
Parameter 7,0.2208589500194,0.19525,0.1591540165930598,4.4497e-06,0.87129,0.2,200
Parameter 8,0.2844300159999999,0.286115,0.072661430775479,0.034246,0.50555,0.3,200
Parameter 9,-0.3568138771999997,-0.46119,0.5076549698292745,-1.0,0.96462,-0.5,200
Parameter 1,0.4746566408438001,0.475955,0.2081908936982373,9.4219e-06,0.99789,0.5,500
Parameter 2,0.2222921695221598,0.21154,0.1429000005494871,3.6308e-07,0.77135,0.2,500
Parameter 3,0.2950545999999998,0.2958199999999999,0.1064127107544018,0.012613,0.67641,0.3,500
Parameter 4,0.1952711519999998,0.19784,0.0472204447440819,0.038698,0.31568,0.2,500
Parameter 5,0.3257606851999998,0.30214,0.2080984272601651,0.0011952,0.99301,0.3,500
Parameter 6,0.3865686710373398,0.37974,0.1476232091792151,7.1867e-07,0.79104,0.4,500
Parameter 7,0.206162230846394,0.195275,0.1166228504796949,2.3197e-08,0.65236,0.2,500
Parameter 8,0.2948404399999998,0.2945299999999999,0.0447836761086715,0.14058,0.42017,0.3,500
Parameter 9,-0.4773777026,-0.52311,0.3609207892248436,-0.99989,0.68901,-0.5,500
Parameter 1,0.4789865640000002,0.47795,0.1682001638685821,0.035641,0.88649,0.5,1000
Parameter 2,0.2112061400678,0.20401,0.106884799945452,9.0339e-06,0.59261,0.2,1000
Parameter 3,0.3047840699999998,0.30092,0.08072979722683,0.092795,0.60037,0.3,1000
Parameter 4,0.1965446919999999,0.19758,0.0318731987007444,0.095036,0.30104,0.2,1000
Parameter 5,0.32136747932,0.308535,0.1717898747391947,0.00039306,0.84585,0.3,1000
Parameter 6,0.3899512780000002,0.3871599999999999,0.1157566536284144,0.039229,0.69451,0.4,1000
Parameter 7,0.1975531573999999,0.19312,0.0921365573827077,0.0081197,0.44447,0.2,1000
Parameter 8,0.2982581800000002,0.299025,0.0337589689369743,0.20026,0.40627,0.3,1000
Parameter 9,-0.4778575629999997,-0.506525,0.2945576119065052,-0.99709,0.42386,-0.5,1000
