Size,Biais_0,Biais_1,Biais_2,Biais_3,Biais_4,Biais_5,Biais_6,Biais_7,Biais_8
size_200,-0.07012344007399962,0.055255896984462094,0.0036162467999997228,-0.01704867192440021,0.016142218587617996,-0.01938032888808533,0.020858950019399997,-0.015569984000000092,0.14318612280000032
size_500,-0.025343359156199896,0.022292169522159788,-0.004945400000000211,-0.004728848000000202,0.0257606851999998,-0.01343132896266025,0.006162230846394001,-0.005159560000000174,0.02262229739999999
size_1000,-0.021013435999999774,0.011206140067799991,0.004784069999999807,-0.0034553080000001013,0.021367479319999994,-0.010048721999999843,-0.0024468426000001098,-0.001741819999999783,0.022142437000000292
