Parameter,Mean,Median,Std,Min,Max
Parameter 1,1.903186800000002,1.9958,0.24557233351043456,1.1745,2.0
Parameter 2,0.5410929000000002,0.55626,0.055050848965206685,0.34874,0.74861
Parameter 3,0.10226298759999994,0.073741,0.08639184679454681,0.0019211,0.42795
Parameter 4,0.4688374400000011,0.46527,0.03597020342792632,0.01499,0.63725
Parameter 5,0.5800513898000007,0.65847,0.2072329517628375,0.0057161,0.66314
Parameter 6,0.29776101639999963,0.33821,0.10766677572363065,0.0029975,0.44629
Parameter 7,0.054614823999999985,0.0338225,0.0553156916324927,0.033785,0.21657
Parameter 8,0.06675308599999999,0.065872,0.0035176545991049218,0.035568,0.085953
Parameter 9,1.8000568000000008,1.7795,0.0750781681566619,1.6517,1.9977
