Parameter,Mean,Median,Std,Min,Max,Real Value,Size
Parameter 1,0.4159939031511,0.3927,0.2651776198965329,3.6555e-07,1.0,0.5,200
Parameter 2,0.3164303716887797,0.258405,0.2637482401588304,3.0439e-07,0.99938,0.2,200
Parameter 3,0.3252872041875,0.29161,0.2469966275720569,8.1595e-07,1.0,0.3,200
Parameter 4,0.2031314564959999,0.177925,0.1622136548014948,5.2378e-05,0.99733,0.2,200
Parameter 5,0.3292600708949398,0.29149,0.260757216951042,7.3047e-07,0.99827,0.3,200
Parameter 6,0.4065668967262877,0.38015,0.2684056790538599,5.7144e-08,1.0,0.4,200
Parameter 7,0.2876695859720001,0.22959,0.2590466030726319,3.7031e-05,0.99992,0.2,200
Parameter 8,0.2862326168220002,0.28006,0.1604875934489649,3.2361e-05,0.9903,0.3,200
Parameter 9,-0.2373214766000001,-0.357905,0.5717326269401624,-0.99999,0.99984,-0.5,200
Parameter 1,0.4759881268200001,0.463385,0.2525602096934797,0.0005698,1.0,0.5,500
Parameter 2,0.2995426687164002,0.233945,0.2689454279655768,1.4892e-06,0.99831,0.2,500
Parameter 3,0.33139870362,0.298895,0.2420599165534008,0.00011432,0.99926,0.3,500
Parameter 4,0.2868622108979997,0.2103249999999999,0.2217295308739984,8.7569e-05,0.99521,0.2,500
Parameter 5,0.4085518844621197,0.3707399999999999,0.2813932379688909,4.4951e-07,0.99985,0.3,500
Parameter 6,0.3831417609799999,0.36704,0.2649383250708786,0.00028529,0.99998,0.4,500
Parameter 7,0.2830024817585151,0.210495,0.256775253387894,9.2576e-09,0.99991,0.2,500
Parameter 8,0.3460481907999997,0.29978,0.1923748565194406,0.0031372,0.99592,0.3,500
Parameter 9,-0.2960129094000001,-0.398485,0.5097804475470876,-1.0,0.99103,-0.5,500
Parameter 1,0.5039619231286,0.495175,0.2472208042826114,2.4333e-06,0.99558,0.5,1000
Parameter 2,0.3158813880482,0.231515,0.2718209337610866,7.1251e-06,0.99994,0.2,1000
Parameter 3,0.3588603351399997,0.31235,0.2632364887965906,0.00019246,0.9984,0.3,1000
Parameter 4,0.3208227157200001,0.214035,0.2501126671106152,0.00010336,0.99668,0.2,1000
Parameter 5,0.4094600386000003,0.3654699999999999,0.2665423362518664,0.0010192,0.99933,0.3,1000
Parameter 6,0.3854825765600001,0.38073,0.263237579406984,0.00051114,0.99737,0.4,1000
Parameter 7,0.3191646599999996,0.23267,0.2711924867899832,0.0017523,0.99962,0.2,1000
Parameter 8,0.3807086294000003,0.309765,0.2210406477806907,0.0013407,0.99926,0.3,1000
Parameter 9,-0.2870344747999999,-0.38112,0.4794495404064372,-0.99998,0.99183,-0.5,1000
