Parameter,Mean,Median,Std,Min,Max,Real Value
Parameter 1,0.5359585333638586,0.5181776353693865,0.16654632932994118,0.20767365749079186,1.072377666215322,0.5
Parameter 2,0.24034795608535767,0.2625305075571309,0.2221601052260109,-0.49315737694977435,0.7652323252576633,0.3
Parameter 3,0.2444400173603153,0.23526304333911277,0.18785681813321845,-0.24933851710282334,0.8822640825123137,0.2
Parameter 4,0.10080983326978459,0.09996040182672719,0.032691487961776705,0.02154556149487563,0.17871876361371083,0.1
Parameter 5,0.17332713295616387,0.17881413511290276,0.3258730701442268,-1.078133792925231,1.2554868834793234,0.2
Parameter 6,0.321415485414515,0.32791506921457303,0.17557703751697762,-0.3244924398722604,0.830681924952668,0.3
Parameter 7,0.12253734188806438,0.10677030136096044,0.22661628064126882,-0.49749361123637464,0.9449805133287634,0.1
Parameter 8,0.27523733325495503,0.27522422695253324,0.18840885757099216,-0.3350950993189405,0.8886070192858209,0.3
Parameter 9,0.3234214227182809,0.333268986982174,0.31784028677523735,-0.7618698536942975,1.5304960968074623,0.3
Parameter 10,0.1997247266656727,0.19921350678672953,0.033668037673606016,0.12389303065845406,0.2884871761256894,0.2
