Parameter,Mean,Median,Std,Min,Max,Real Value
Parameter 1,0.3179420307212,0.293645,0.13092907310387508,7.3606e-06,0.80356,0.3
Parameter 2,0.1920791289344421,0.18333,0.1143356928445296,1.3051e-08,0.53104,0.2
Parameter 3,0.48964604000000006,0.48653,0.08089115072193255,0.22069,0.69718,0.5
Parameter 4,0.10171174074383799,0.10235,0.05274420238597914,2.6219e-08,0.27113,0.1
Parameter 5,0.4896476199999999,0.471725,0.1627575665391185,0.13104,0.99753,0.5
Parameter 6,0.4177587313835999,0.42812,0.12437131683822424,5.6918e-06,0.79462,0.4
Parameter 7,0.30564464000000013,0.303645,0.07382022552979906,0.11187,0.57774,0.3
Parameter 8,0.1794674718,0.179745,0.07321376601377627,0.0013388,0.3758,0.2
Parameter 9,0.4934027489999999,0.681365,0.5240302018183811,-0.99999,1.0,0.7
